nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
lEXIT001GG,1700,1360,G,Parking,EXIT,75 Lobby Entrance,EXIT001
lEXIT002GG,2130,1410,G,Parking,EXIT,Emergency Room Entrance,EXIT002
lPARK001GG,125,1875,G,Parking,PARK,Parking Spot 1,PARK001
lPARK002GG,230,1875,G,Parking,PARK,Parking Spot 2,PARK002
lPARK003GG,335,1875,G,Parking,PARK,Parking Spot 3,PARK003
lPARK004GG,440,1875,G,Parking,PARK,Parking Spot 4,PARK004
lPARK005GG,145,2115,G,Parking,PARK,Parking Spot 5,PARK005
lPARK006GG,255,2115,G,Parking,PARK,Parking Spot 6,PARK006
lPARK007GG,360,2115,G,Parking,PARK,Parking Spot 7,PARK007
lPARK008GG,465,2115,G,Parking,PARK,Parking Spot 8,PARK008
lPARK009GG,570,2115,G,Parking,PARK,Parking Spot 9,PARK009
lPARK010GG,675,2115,G,Parking,PARK,Parking Spot 10,PARK010
lPARK011GG,3148,1179,G,Parking,PARK,Parking Spot 11,PARK011
lPARK012GG,3148,1204,G,Parking,PARK,Parking Spot 12,PARK012
lPARK013GG,3148,1229,G,Parking,PARK,Parking Spot 13,PARK013
lPARK014GG,3148,1254,G,Parking,PARK,Parking Spot 14,PARK014
lPARK015GG,3148,1279,G,Parking,PARK,Parking Spot 15,PARK015
lPARK016GG,3313,1113,G,Parking,PARK,Parking Spot 16,PARK016
lPARK017GG,3313,1134,G,Parking,PARK,Parking Spot 17,PARK017
lPARK018GG,3313,1155,G,Parking,PARK,Parking Spot 18,PARK018
lPARK019GG,3313,1176,G,Parking,PARK,Parking Spot 19,PARK019
lPARK020GG,3313,1197,G,Parking,PARK,Parking Spot 20,PARK020
lPARK021GG,3313,1218,G,Parking,PARK,Parking Spot 21,PARK021
lPARK022GG,3313,1239,G,Parking,PARK,Parking Spot 22,PARK022
lPARK023GG,3313,1260,G,Parking,PARK,Parking Spot 23,PARK023
lPARK024GG,3313,1281,G,Parking,PARK,Parking Spot 24,PARK024
lPARK025GG,3313,1302,G,Parking,PARK,Parking Spot 25,PARK025
lWALK001GG,3198,1564,G,Parking,WALK,Edge of East Parking,WALK001
lWALK002GG,1932,1551,G,Parking,WALK,Between Entrances,WALK002
lWALK003GG,578,1960,G,Parking,WALK,Middle of West Parking,WALK003
lWALK004GG,778,1702,G,Parking,WALK,Edge of West Parking,WALK004
